,Class
43,1
298,1
325,1
581,2
694,1
261,2
722,1
358,1
123,2
695,2
437,1
188,1
703,1
356,1
349,1
98,2
526,2
61,2
51,2
583,1
194,1
736,1
292,1
254,1
616,1
177,2
239,1
658,1
86,1
684,1
45,2
276,1
47,1
34,1
326,1
427,1
719,1
260,1
691,1
425,1
229,1
747,1
69,1
120,2
664,1
478,1
607,1
502,2
549,2
256,1
17,2
274,1
514,2
365,2
669,2
628,1
440,1
429,1
238,1
16,2
728,1
647,1
381,1
580,1
135,1
271,1
191,1
687,1
204,1
522,2
638,1
732,2
178,2
657,1
321,2
484,1
706,1
233,1
334,1
490,1
621,1
447,1
73,1
337,1
524,1
435,1
614,1
87,1
199,1
469,1
459,1
582,1
183,1
291,1
353,1
247,1
134,1
609,1
253,2
639,2
423,1
195,2
234,1
231,2
158,1
442,1
96,1
212,1
589,1
405,1
165,2
572,2
541,1
497,1
649,1
363,1
14,2
384,1
331,1
352,1
717,1
569,1
18,2
13,1
369,2
444,1
666,1
495,1
245,1
715,1
112,1
324,1
602,1
357,1
397,1
610,1
201,1
285,1
651,1
533,1
124,1
303,1
38,2
371,1
33,2
656,1
679,1
9,2
211,1
491,1
738,1
197,1
113,2
501,2
40,2
189,2
81,1
721,1
571,1
701,1
339,1
210,1
203,1
90,2
242,2
493,1
390,1
555,1
710,1
653,1
553,1
95,1
400,1
464,1
42,2
720,1
660,1
439,1
403,1
608,1
743,1
323,2
449,1
257,1
180,2
351,1
697,1
707,1
519,2
224,2
114,1
80,2
32,2
170,1
540,2
415,1
546,1
25,1
255,1
745,1
41,1
698,1
386,1
309,1
101,2
462,2
166,1
347,1
565,1
648,1
419,1
545,2
689,1
148,2
367,1
716,1
492,1
739,1
272,1
137,1
672,1
673,1
531,2
249,1
641,1
693,1
184,1
504,2
223,1
611,1
119,2
91,1
711,1
398,1
704,1
214,1
441,1
465,1
659,1
65,1
192,1
151,1
126,2
159,1
161,1
428,1
227,1
448,1
714,1
108,1
500,2
561,1
258,1
494,1
535,2
620,1
268,1
289,2
742,1
181,1
150,2
55,2
376,1
102,1
144,2
443,1
422,1
418,1
399,2
680,2
163,2
509,2
518,2
174,1
453,1
83,1
0,2
467,1
505,2
601,1
375,2
107,1
270,1
106,1
269,1
654,1
523,2
573,1
308,1
97,2
578,1
671,1
140,1
302,1
567,1
597,1
198,1
167,1
559,1
78,1
662,1
66,2
319,1
361,1
286,1
243,2
314,1
644,2
24,1
348,1
99,2
297,1
595,1
683,1
407,1
570,1
104,1
7,1
655,1
420,1
506,2
488,1
394,1
67,1
677,1
537,2
512,1
529,2
675,1
143,1
299,1
226,1
650,1
301,1
562,2
21,1
2,2
600,1
723,1
316,1
475,2
288,2
473,1
125,1
205,1
575,2
623,1
520,2
310,1
406,1
636,1
503,1
39,2
604,1
64,2
251,1
481,1
737,1
416,1
206,1
132,1
496,1
53,1
54,2
471,1
263,2
360,1
380,1
215,2
340,1
661,1
284,1
219,1
304,1
294,1
220,1
413,1
685,1
584,1
564,1
594,1
547,1
122,2
674,1
450,1
278,1
228,1
100,2
618,2
275,1
94,1
536,2
560,2
172,1
516,2
667,2
392,1
222,2
115,1
472,1
574,2
438,1
15,2
421,1
724,1
460,1
266,1
556,1
58,1
171,1
26,1
175,1
554,1
433,1
486,1
681,1
432,2
277,1
411,1
532,1
169,1
283,1
676,1
62,1
489,1
592,1
333,2
686,1
642,1
612,2
599,1
209,1
213,1
338,2
185,1
110,2
379,1
60,1
712,2
670,1
77,1
482,1
241,1
85,1
741,1
626,1
510,2
424,1
237,1
116,2
44,2
729,1
133,1
105,1
287,2
635,1
474,1
207,1
250,1
483,1
329,1
162,1
267,1
354,1
300,1
385,1
30,1
149,1
218,1
311,1
534,1
335,2
37,2
543,2
68,1
507,1
190,1
217,1
634,1
409,1
544,1
446,1
176,2
5,1
27,2
468,2
111,1
744,1
643,1
587,1
236,1
588,1
147,1
368,1
75,2
727,1
591,1
72,2
362,1
290,2
6,2
355,1
463,1
632,1
613,1
521,2
566,1
696,1
130,1
313,1
373,1
528,1
141,1
705,1
8,2
617,1
28,2
152,1
50,1
332,2
393,1
280,1
682,1
