,class
447,1
987,1
818,1
697,1
465,1
141,1
812,0
640,0
793,1
737,1
301,0
600,1
886,1
996,1
983,0
666,1
997,1
59,0
806,1
682,1
51,1
39,1
10,0
68,0
611,0
764,1
369,1
442,1
229,1
710,1
133,1
228,0
522,0
175,0
401,1
494,1
276,1
980,0
937,1
906,1
169,0
839,1
234,1
915,0
619,1
647,0
205,1
564,1
889,1
382,1
222,1
511,1
614,0
351,0
119,1
773,1
506,1
251,1
950,1
266,1
43,1
120,0
913,1
969,1
665,1
176,1
127,0
80,0
724,0
530,1
636,1
317,1
623,1
509,1
990,1
946,0
550,1
104,1
102,1
160,1
140,1
531,0
899,0
315,0
302,0
796,0
389,1
85,1
402,0
520,1
361,1
708,1
767,1
188,0
661,0
859,1
860,1
671,1
871,1
224,1
743,1
857,1
680,1
939,1
136,1
536,1
285,1
0,1
822,0
265,0
347,1
360,1
432,1
533,1
723,1
523,1
880,1
383,1
706,0
979,0
425,1
734,1
654,1
481,1
989,1
954,1
518,1
153,1
557,0
560,1
957,1
278,0
815,1
47,1
436,1
374,0
101,1
772,1
163,1
736,0
868,1
635,1
57,1
97,1
657,1
286,1
150,1
230,0
334,0
794,1
865,1
747,0
433,1
341,1
200,1
328,1
480,1
500,0
277,1
598,0
546,1
573,1
608,1
79,1
712,1
482,1
594,0
602,0
281,1
584,1
786,1
771,0
634,0
501,1
254,1
963,0
829,1
50,1
508,1
20,1
524,1
941,1
359,0
350,1
174,0
327,1
663,1
8,1
795,1
191,0
143,0
49,1
544,1
207,1
343,1
213,0
290,1
866,1
778,1
637,1
170,0
5,1
760,1
312,1
929,1
934,1
681,1
19,1
809,0
423,1
739,0
167,1
417,1
975,1
42,1
981,0
700,0
437,1
884,0
538,0
498,1
307,0
942,1
691,1
938,0
769,1
103,1
971,1
171,1
493,1
855,1
484,1
333,0
95,0
241,1
920,1
89,0
653,0
199,0
638,1
474,0
695,1
988,1
418,1
407,1
561,0
288,1
18,0
754,0
203,0
721,0
781,1
377,1
641,1
807,1
875,1
83,1
646,1
30,1
849,0
630,1
293,1
304,0
965,1
776,1
521,0
566,0
897,1
399,1
26,1
107,1
486,1
311,1
854,1
587,1
722,0
380,1
714,0
627,0
642,0
116,0
142,1
717,1
833,1
24,1
686,1
190,0
604,1
863,1
674,0
759,0
615,1
165,1
758,1
131,0
879,1
628,1
355,0
283,1
817,1
529,1
827,0
782,1
